bacterium,antibiotic,n_isolates,observed_resistance,has multidrug efflux pump_bact,performs hydrolysis_bact,porin loss_bact,porin mutation_bact,PBP modification_bact,ribosomal methylation_bact,biofilm protection_bact,target alteration_bact,target replacement_bact,target overexpression_bact,inactivation_bact,gram_negative_bact,outer_membrane_bact,intrinsic_beta_lactamase_bact,non_fermenter_bact,has multidrug efflux pump_abx,performs hydrolysis_abx,porin loss_abx,porin mutation_abx,PBP modification_abx,ribosomal methylation_abx,biofilm protection_abx,target alteration_abx,target replacement_abx,target overexpression_abx,inactivation_abx,gram_negative_abx,outer_membrane_abx,intrinsic_beta_lactamase_abx,non_fermenter_abx
Klebsiella pneumoniae,Ampicillin-sulbactam,39286,0.4315,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0.5,0.2,0.4,0.3,0.7,0.0,0.6,0.2,0.1,0.1,0.2,0.5,0.5,0.2,0.8
Klebsiella pneumoniae,Cefepime,90154,0.3335,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0.4,0.6,0.5,0.4,0.7,0.0,0.6,0.2,0.1,0.1,0.5,0.3,0.3,0.4,0.3
Klebsiella pneumoniae,Cefiderocol,5301,0.0023,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0.2,0.3,0.1,0.1,0.4,0.0,0.5,0.2,0.1,0.1,0.5,0.2,0.1,0.1,0.1
Klebsiella pneumoniae,Ceftaroline,60601,0.4826,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0.3,0.5,0.4,0.3,0.5,0.0,0.6,0.2,0.1,0.1,0.4,0.4,0.4,0.5,0.8
Klebsiella pneumoniae,Ceftazidime-avibactam,60601,0.0586,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0.3,0.2,0.5,0.4,0.5,0.0,0.6,0.2,0.1,0.1,0.2,0.4,0.4,0.2,0.2
Klebsiella pneumoniae,Ceftibuten,16649,0.2363,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0.5,0.7,0.5,0.4,0.7,0.0,0.6,0.2,0.1,0.1,0.5,0.4,0.4,0.7,0.8
Klebsiella pneumoniae,Ceftolozane-tazobactam,33367,0.2446,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0.3,0.2,0.5,0.4,0.5,0.0,0.6,0.2,0.1,0.1,0.2,0.4,0.4,0.2,0.2
Klebsiella pneumoniae,Ceftriaxone,38031,0.3836,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0.5,0.7,0.5,0.4,0.7,0.0,0.6,0.2,0.1,0.1,0.5,0.4,0.4,0.7,0.8
Klebsiella pneumoniae,Gentamicin,39287,0.2993,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0.6,0.1,0.3,0.2,0.0,0.9,0.7,0.7,0.1,0.1,0.8,0.3,0.3,0.0,0.3
Klebsiella pneumoniae,Imipenem,63212,0.1487,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0.3,0.7,0.8,0.6,0.6,0.0,0.7,0.2,0.1,0.1,0.5,0.4,0.4,0.3,0.2
Klebsiella pneumoniae,Meropenem,87542,0.1283,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0.4,0.8,0.8,0.6,0.5,0.0,0.7,0.2,0.1,0.1,0.5,0.4,0.4,0.3,0.2
Klebsiella pneumoniae,Meropenem-vaborbactam,29326,0.1209,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0.3,0.2,0.7,0.5,0.5,0.0,0.6,0.2,0.1,0.1,0.2,0.4,0.4,0.1,0.2
Neisseria gonorrhoeae,Cefixime,68,0.0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0.5,0.7,0.5,0.4,0.7,0.0,0.6,0.2,0.1,0.1,0.5,0.4,0.4,0.7,0.8
Neisseria gonorrhoeae,Ceftriaxone,68,0.0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0.5,0.7,0.5,0.4,0.7,0.0,0.6,0.2,0.1,0.1,0.5,0.4,0.4,0.7,0.8
Pseudomonas aeruginosa,Amikacin,97539,0.0756,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.5,0.1,0.3,0.2,0.0,0.8,0.7,0.7,0.1,0.1,0.7,0.3,0.3,0.0,0.3
Pseudomonas aeruginosa,Cefepime,97539,0.1302,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.4,0.6,0.5,0.4,0.7,0.0,0.6,0.2,0.1,0.1,0.5,0.3,0.3,0.4,0.3
Pseudomonas aeruginosa,Cefiderocol,4845,0.0029,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.2,0.3,0.1,0.1,0.4,0.0,0.5,0.2,0.1,0.1,0.5,0.2,0.1,0.1,0.1
Pseudomonas aeruginosa,Ceftazidime-avibactam,67767,0.0936,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.3,0.2,0.5,0.4,0.5,0.0,0.6,0.2,0.1,0.1,0.2,0.4,0.4,0.2,0.2
Pseudomonas aeruginosa,Ceftolozane-tazobactam,40031,0.0869,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.3,0.2,0.5,0.4,0.5,0.0,0.6,0.2,0.1,0.1,0.2,0.4,0.4,0.2,0.2
